# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
116,350,P016,-1859798.221,-4520853.602,4085740.892,40.078117098,-112.361388524,1731.2536,0,TRM29659.00     NONE,UNAVCO P016,TRIMBLE,TRIMBLE NETRS,,4606205186
127,349,NVNL,-2187849.1558,-4665010.4488,3747550.2059,36.212245367,-115.126167127,560.436,0,TRM57971.00     NONE,NVNL North Las Vegas,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5443R50010
133,348,NVMQ,-2087068.6171,-4667729.245,3800783.5343,36.809532858,-114.090716411,488.1,0,TRM55971.00     NONE,NVMQ_Mesquite Nevada,TRIMBLE,TRIMBLE NETR5,Nav 4.45 / Boot 4.45,5025K68471
150,347,NVLV,-2196311.45,-4669454.703,3737272.461,36.096953938,-115.190283401,649.6359,0,TRM55971.00     NONE,Monsen Las Vegas,TRIMBLE,TRIMBLE NETR5,Nav 4.43 / Boot 4.43,5024K68412
117,346,NVKP,-2166712.727,-4662105.532,3763486.497,36.38971978,-114.926640872,667.7221,0,TRM57971.00     NONE,North Las Vegas KPEX,TRIMBLE,TRIMBLE NETR9,Nav 4.70 / Boot 4.70,5146K79785
111,345,NVH2,-2192352.614,-4680079.978,3726571.049,35.976901454,-115.100431244,771.4181,0,TRM57971.00     NONE,Hen2,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,5224K50006
118,344,NVH1,-2181211.796,-4681307.311,3731237.377,36.030008445,-114.982729559,599.1366,0,TRM57971.00     NONE,Hen1,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,5225K50152
151,343,NVDB,-2204829.03801584,-4666961.1660837,3735571.96512045,36.077265336,-115.287621944,760.282,0,TRM57971.00     NONE,Diamond Back West Las Vegas,TRIMBLE,TRIMBLE NETR9,Nav 4.93 / Boot 4.93,5152K81021
107,342,NVBC,-2172279.089,-4689698.205,3726184.108,35.972795702,-114.853681627,740.4063,0,TRM57971.00     NONE,EG Radig Boulder City,TRIMBLE,TRIMBLE NETR9,Nav 4.70 / Boot 4.70,5106K73715
56,341,MC09,-1596798.596,-4756284.731,3927793.551,38.243226186,-108.558134211,1793.7967,0,TRM57971.00     NONE,Mesa County MC09,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5117K75253
